T1|2|
T2|3|
T3|2|
T4|4|T1,T2
T5|1|T1,T3
T6|2|T2,T3
T7|3|T4,T5
T8|2|T5,T6
T9|5|T6,T4
T10|2|T7,T8
T11|1|T7,T9
T12|2|T8,T9
T13|3|T10,T11
T14|2|T10,T12
T15|4|T11,T12
T16|1|T13,T14
T17|2|T13,T15
T18|3|T14,T15
T19|2|T16,T17
T20|5|T16,T18
T21|2|T17,T18
T22|3|T19,T20
T23|2|T19,T21
T24|4|T20,T21
T25|1|T22,T23
T26|2|T22,T24
T27|3|T23,T24
T28|2|T25,T26
T29|4|T25,T27
T30|2|T26,T27
T31|3|T28,T29
T32|2|T28,T30
T33|4|T29,T30
T34|1|T31,T32
T35|2|T31,T33
T36|3|T32,T33
T37|2|T34,T35
T38|5|T34,T36
T39|2|T35,T36
T40|3|T37,T38
T41|2|T37,T39
T42|4|T38,T39
T43|1|T40,T41
T44|2|T40,T42
T45|3|T41,T42
T46|2|T43,T44
T47|4|T43,T45
T48|2|T44,T45
T49|3|T46,T47
T50|2|T46,T48
T51|4|T47,T48
T52|1|T49,T50
T53|2|T49,T51
T54|3|T50,T51
T55|2|T52,T53
T56|5|T52,T54
T57|2|T53,T54
T58|3|T55,T56
T59|2|T55,T57
T60|4|T56,T57
T61|1|T58,T59
T62|2|T58,T60
T63|3|T59,T60
T64|2|T61,T62
T65|4|T61,T63
T66|2|T62,T63
T67|3|T64,T65
T68|2|T64,T66
T69|4|T65,T66
T70|1|T67,T68
T71|2|T67,T69
T72|3|T68,T69
T73|2|T70,T71
T74|5|T70,T72
T75|2|T71,T72
T76|3|T73,T74
T77|2|T73,T75
T78|4|T74,T75
T79|1|T76,T77
T80|2|T76,T78
T81|3|T77,T78
T82|2|T79,T80
T83|4|T79,T81
T84|2|T80,T81
T85|3|T82,T83
T86|2|T82,T84
T87|4|T83,T84
T88|1|T85,T86
T89|2|T85,T87
T90|3|T86,T87
T91|2|T88,T89
T92|5|T88,T90
T93|2|T89,T90
T94|3|T91,T92
T95|2|T91,T93
T96|4|T92,T93
T97|1|T94,T95
T98|2|T94,T96
T99|3|T95,T96
T100|2|T97,T98
T101|4|T97,T99
T102|2|T98,T99
T103|3|T100,T101
T104|2|T100,T102
T105|4|T101,T102
T106|1|T103,T104
T107|2|T103,T105
T108|3|T104,T105
T109|2|T106,T107
T110|5|T106,T108
T111|2|T107,T108
T112|3|T109,T110
T113|2|T109,T111
T114|4|T110,T111
T115|1|T112,T113
T116|2|T112,T114
T117|3|T113,T114
T118|2|T115,T116
T119|4|T115,T117
T120|2|T116,T117
T121|3|T118,T119
T122|2|T118,T120
T123|4|T119,T120
T124|1|T121,T122
T125|2|T121,T123
T126|3|T122,T123
T127|2|T124,T125
T128|5|T124,T126
T129|2|T125,T126
T130|3|T127,T128
T131|2|T127,T129
T132|4|T128,T129
T133|1|T130,T131
T134|2|T130,T132
T135|3|T131,T132
T136|2|T133,T134
T137|4|T133,T135
T138|2|T134,T135
T139|3|T136,T137
T140|2|T136,T138
T141|4|T137,T138
T142|1|T139,T140
T143|2|T139,T141
T144|3|T140,T141
T145|2|T142,T143
T146|5|T142,T144
T147|2|T143,T144
T148|3|T145,T146
T149|2|T145,T147
T150|4|T146,T147
T151|1|T148,T149
T152|2|T148,T150
T153|3|T149,T150
T154|2|T151,T152
T155|4|T151,T153
T156|2|T152,T153
T157|3|T154,T155
T158|2|T154,T156
T159|4|T155,T156
T160|1|T157,T158
T161|2|T157,T159
T162|3|T158,T159
T163|2|T160,T161
T164|5|T160,T162
T165|2|T161,T162
T166|3|T163,T164
T167|2|T163,T165
T168|4|T164,T165
T169|1|T166,T167
T170|2|T166,T168
T171|3|T167,T168
T172|2|T169,T170
T173|4|T169,T171
T174|2|T170,T171
T175|3|T172,T173
T176|2|T172,T174
T177|4|T173,T174
T178|1|T175,T176
T179|2|T175,T177
T180|3|T176,T177
T181|2|T178,T179
T182|5|T178,T180
T183|2|T179,T180
T184|3|T181,T182
T185|2|T181,T183
T186|4|T182,T183
T187|1|T184,T185
T188|2|T184,T186
T189|3|T185,T186
T190|2|T187,T188
T191|4|T187,T189
T192|2|T188,T189
T193|3|T190,T191
T194|2|T190,T192
T195|4|T191,T192
T196|1|T193,T194
T197|2|T193,T195
T198|3|T194,T195
T199|2|T196,T197
T200|4|T196,T198
